Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu04630:Jak-STAT signaling pathway	8	0.06486661801670315	3.712489509486215E-5	SOCS2, IL9, SOCS1, PIM1, IL24, JAK3, IL7R, IL2	51	145	7691	8.32021636240703	0.003224715229983688	0.003224715229983688	0.04011576468169187
KEGG_PATHWAY	mmu04940:Type I diabetes mellitus	5	0.040541636260439474	6.681692422749339E-4	H2-Q10, H2-Q6, H2-Q7, LTA, IL2	51	62	7691	12.161606578115117	0.05649173409283592	0.028656463496480544	0.719768521784403
KEGG_PATHWAY	mmu04060:Cytokine-cytokine receptor interaction	8	0.06486661801670315	8.805592486720048E-4	IL17A, TNFSF11, CCL20, IL9, IL24, IL7R, LTA, IL2	51	242	7691	4.985253605574461	0.07377899238073171	0.02522389269997327	0.947573631080123
KEGG_PATHWAY	mmu05332:Graft-versus-host disease	4	0.03243330900835158	0.0045679224872033275	H2-Q10, H2-Q6, H2-Q7, IL2	51	52	7691	11.600301659125188	0.32855266657663873	0.09478240193580834	4.8277080878245116
KEGG_PATHWAY	mmu05330:Allograft rejection	4	0.03243330900835158	0.005626300840407003	H2-Q10, H2-Q6, H2-Q7, IL2	51	56	7691	10.771708683473388	0.38790658169357206	0.09350890539250589	5.915649610258933
KEGG_PATHWAY	mmu05166:HTLV-I infection	7	0.05675829076461526	0.00853231861837259	H2-Q10, JAK3, H2-Q6, MYB, H2-Q7, LTA, IL2	51	276	7691	3.8247371412333053	0.5255014275456145	0.11684048624167465	8.845057389945875
KEGG_PATHWAY	mmu05320:Autoimmune thyroid disease	4	0.03243330900835158	0.01083768303752938	H2-Q10, H2-Q6, H2-Q7, IL2	51	71	7691	8.495995581331123	0.6124943893047309	0.12666157072862227	11.109825663259409
KEGG_PATHWAY	mmu04640:Hematopoietic cell lineage	4	0.03243330900835158	0.017580232326531955	DNTT, TFRC, IL7R, CD24A	51	85	7691	7.096655132641292	0.7862790737070308	0.17542363765351987	17.443718000414034
KEGG_PATHWAY	mmu04145:Phagosome	5	0.040541636260439474	0.024573114589738283	H2-Q10, TFRC, NCF1, H2-Q6, H2-Q7	51	171	7691	4.40947139089554	0.8852002895659756	0.21377114798365082	23.577547353269868
KEGG_PATHWAY	mmu04066:HIF-1 signaling pathway	4	0.03243330900835158	0.02830904467024766	TFRC, ENO3, NOS2, TIMP1	51	102	7691	5.913879277201077	0.917785211753301	0.2210761634929902	26.68219467958809
KEGG_PATHWAY	mmu05321:Inflammatory bowel disease (IBD)	3	0.024324981756263683	0.05604458933436121	IL17A, IL17F, IL2	51	59	7691	7.6679960119641075	0.9933812073991276	0.3662923070117916	46.38505794646781
KEGG_PATHWAY	mmu05169:Epstein-Barr virus infection	4	0.03243330900835158	0.05806685001917256	H2-Q10, JAK3, H2-Q6, H2-Q7	51	136	7691	4.435409457900807	0.9945077905183112	0.3518946729288872	47.61346599286228
KEGG_PATHWAY	mmu04917:Prolactin signaling pathway	3	0.024324981756263683	0.0813337465996008	TNFSF11, SOCS2, SOCS1	51	73	7691	6.197421434327156	0.9993766594300444	0.43318620052548673	60.0217139941912
KEGG_PATHWAY	mmu04144:Endocytosis	5	0.040541636260439474	0.08867694889246153	H2-Q10, TFRC, IZUMO1R, H2-Q6, H2-Q7	51	261	7691	2.888964014724664	0.9996899048819623	0.43844474599912786	63.34313583757512
KEGG_PATHWAY	mmu05416:Viral myocarditis	3	0.024324981756263683	0.09307410423184238	H2-Q10, H2-Q6, H2-Q7	51	79	7691	5.726731198808637	0.9997964145064321	0.4325645619786418	65.21008290883208
KEGG_PATHWAY	mmu05323:Rheumatoid arthritis	3	0.024324981756263683	0.0991205059565507	IL17A, TNFSF11, CCL20	51	82	7691	5.517216642754663	0.9998862364763529	0.4331081808594325	67.63644288792564
KEGG_PATHWAY	mmu04612:Antigen processing and presentation	3	0.024324981756263683	0.0991205059565507	H2-Q10, H2-Q6, H2-Q7	51	82	7691	5.517216642754663	0.9998862364763529	0.4331081808594325	67.63644288792564
