"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1700048O20Rik",37.8473129546738,2.4004141892412,0.502520795312182,4.77674598073098,1.78154590711618e-06,0.0004190261956719
"2610035D17Rik",86.1812016071469,1.26531305775963,0.313234029825607,4.0395133902408,5.35622102398944e-05,0.00861729479665682
"AA465934",184.282191490673,1.6673535236192,0.230466236042875,7.23469759496143,4.66567582304338e-13,2.82184517278447e-10
"Acvrl1",3171.6837035055,-0.318981923608235,0.0789370426383233,-4.04096623013556,5.32314241606534e-05,0.00861729479665682
"Adam19",3159.52116992831,0.385462767455755,0.0719473768862706,5.35756526697378,8.43509013440719e-08,2.74702768710528e-05
"Aldh1l1",68.2644286465736,-1.41621600296636,0.351757623041239,-4.02611318191766,5.6706402035543e-05,0.00900285015316789
"Alpk2",1408.36457970491,-0.971800977440168,0.0975201202518518,-9.96513309182179,2.16583585218974e-23,9.16942705288732e-20
"Anxa3",504.479595884386,-0.676019558986942,0.136222274143379,-4.96262129844792,6.95481046641057e-07,0.000187942654752938
"App",74.2080912052547,-1.41921346275772,0.339120303046859,-4.18498523977085,2.85184631478898e-05,0.00520706534965524
"Arl4c",2640.49341830521,-0.290407295253561,0.0755717837873668,-3.84280058904879,0.000121638297696549,0.0171658668782652
"Basp1",1011.28976655667,-0.929072307373019,0.102598181494546,-9.05544614767274,1.36010623612147e-19,3.45494186099576e-16
"Bzrap1",379.787474433513,-0.937607684412555,0.156030048336815,-6.00914820194495,1.86500583739762e-09,8.16808246234043e-07
"C030037D09Rik",133.619066184622,0.950872178562692,0.255933849830558,3.71530447884179,0.000202959152342947,0.0265750947825543
"Ccdc50",5286.99347275823,0.283668296560911,0.0691496935123703,4.10223505199145,4.09178278956608e-05,0.00711914153565463
"Ccl20",230.428853509912,0.916220177912416,0.190997661701566,4.7970230093393,1.61041108822696e-06,0.000393342908299436
"Cd24a",713.336685649254,0.42277325720298,0.118856940643413,3.5569925905409,0.000375124732447127,0.0449477285548203
"Chchd10",1809.78720495484,-0.418084101273248,0.084372577428117,-4.95521310380074,7.22510577904878e-07,0.000191179309374372
"Chd3",4132.35246083223,0.472445070070445,0.0700321646304825,6.74611548226808,1.5185577129647e-11,7.71488060494586e-09
"Coro2a",580.758981311442,-0.468054155752412,0.126500898990667,-3.70000655716246,0.000215593896315865,0.0279414089500796
"Cyp11a1",1554.66522765753,-0.447385888278475,0.092236509576695,-4.85042084020397,1.23199795832101e-06,0.000306815805267356
"Ddx3y",557.616434153923,12.6181623367948,1.44798864049444,8.71426887194785,2.92641092860062e-18,4.64604315051956e-15
"Dntt",238.896669734672,-0.944046695633067,0.18907149676485,-4.99306723533895,5.94278574266358e-07,0.000164085481994718
"Eif2s3x",2248.35752618271,-0.687634082780049,0.0806181020505112,-8.52952457686504,1.4695037687298e-17,2.07379637407079e-14
"Eif2s3y",878.412211630237,13.2737344786665,1.4463775756324,9.17722640498129,4.4233758427207e-20,1.40453241445989e-16
"Eno3",807.298256368373,0.542489418504562,0.117622976063829,4.61210417095869,3.98613127268382e-06,0.000872894022316504
"Fes",1249.27304521553,-0.340527876630902,0.0945625507748325,-3.60108598848765,0.000316890738263649,0.0398497947196694
"Gatm",3198.93978784701,-0.376497953338203,0.0863260643829026,-4.36134736396914,1.29263957369743e-05,0.00248754776144409
