"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Acvrl1",3171.6837035055,-0.318981923608235,0.0789370426383233,-4.04096623013556,5.32314241606534e-05,0.00861729479665682
"Aldh1l1",68.2644286465736,-1.41621600296636,0.351757623041239,-4.02611318191766,5.6706402035543e-05,0.00900285015316789
"Alpk2",1408.36457970491,-0.971800977440168,0.0975201202518518,-9.96513309182179,2.16583585218974e-23,9.16942705288732e-20
"Anxa3",504.479595884386,-0.676019558986942,0.136222274143379,-4.96262129844792,6.95481046641057e-07,0.000187942654752938
"App",74.2080912052547,-1.41921346275772,0.339120303046859,-4.18498523977085,2.85184631478898e-05,0.00520706534965524
"Arl4c",2640.49341830521,-0.290407295253561,0.0755717837873668,-3.84280058904879,0.000121638297696549,0.0171658668782652
"Basp1",1011.28976655667,-0.929072307373019,0.102598181494546,-9.05544614767274,1.36010623612147e-19,3.45494186099576e-16
"Bzrap1",379.787474433513,-0.937607684412555,0.156030048336815,-6.00914820194495,1.86500583739762e-09,8.16808246234043e-07
"Chchd10",1809.78720495484,-0.418084101273248,0.084372577428117,-4.95521310380074,7.22510577904878e-07,0.000191179309374372
"Coro2a",580.758981311442,-0.468054155752412,0.126500898990667,-3.70000655716246,0.000215593896315865,0.0279414089500796
"Cyp11a1",1554.66522765753,-0.447385888278475,0.092236509576695,-4.85042084020397,1.23199795832101e-06,0.000306815805267356
"Dntt",238.896669734672,-0.944046695633067,0.18907149676485,-4.99306723533895,5.94278574266358e-07,0.000164085481994718
"Eif2s3x",2248.35752618271,-0.687634082780049,0.0806181020505112,-8.52952457686504,1.4695037687298e-17,2.07379637407079e-14
"Fes",1249.27304521553,-0.340527876630902,0.0945625507748325,-3.60108598848765,0.000316890738263649,0.0398497947196694
"Gatm",3198.93978784701,-0.376497953338203,0.0863260643829026,-4.36134736396914,1.29263957369743e-05,0.00248754776144409
"Glod4",1463.06576119768,-0.639754664224336,0.0895785981362998,-7.14182491727439,9.20998649282274e-13,5.31709265660644e-10
"Gm23849",16.2154719411817,-4.30861341493769,1.05543713582972,-4.08230226952412,4.45917468644577e-05,0.0075514636923397
"Gm26316",134.261222944878,-1.02182202209845,0.256998447028496,-3.97598520112905,7.00884840813924e-05,0.0108560223941191
