"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1700048O20Rik",37.8473129546738,2.4004141892412,0.502520795312182,4.77674598073098,1.78154590711618e-06,0.0004190261956719
"2610035D17Rik",86.1812016071469,1.26531305775963,0.313234029825607,4.0395133902408,5.35622102398944e-05,0.00861729479665682
"AA465934",184.282191490673,1.6673535236192,0.230466236042875,7.23469759496143,4.66567582304338e-13,2.82184517278447e-10
"Adam19",3159.52116992831,0.385462767455755,0.0719473768862706,5.35756526697378,8.43509013440719e-08,2.74702768710528e-05
"C030037D09Rik",133.619066184622,0.950872178562692,0.255933849830558,3.71530447884179,0.000202959152342947,0.0265750947825543
"Ccdc50",5286.99347275823,0.283668296560911,0.0691496935123703,4.10223505199145,4.09178278956608e-05,0.00711914153565463
"Ccl20",230.428853509912,0.916220177912416,0.190997661701566,4.7970230093393,1.61041108822696e-06,0.000393342908299436
"Cd24a",713.336685649254,0.42277325720298,0.118856940643413,3.5569925905409,0.000375124732447127,0.0449477285548203
"Chd3",4132.35246083223,0.472445070070445,0.0700321646304825,6.74611548226808,1.5185577129647e-11,7.71488060494586e-09
"Ddx3y",557.616434153923,12.6181623367948,1.44798864049444,8.71426887194785,2.92641092860062e-18,4.64604315051956e-15
"Eif2s3y",878.412211630237,13.2737344786665,1.4463775756324,9.17722640498129,4.4233758427207e-20,1.40453241445989e-16
"Eno3",807.298256368373,0.542489418504562,0.117622976063829,4.61210417095869,3.98613127268382e-06,0.000872894022316504
"Gm10801",16.4169333851739,6.06946340134495,1.60378765695867,3.78445573827069,0.000154045318725654,0.0205950483487845
"Igf2bp3",420.834753963797,1.11253535303618,0.147910123471323,7.52169849450425,5.40691597416104e-14,3.81517998821219e-11
"Il17a",7247.55106303493,0.512885865098916,0.0665349202177416,7.70852153155742,1.27283648070421e-14,9.50958596554364e-12
"Il17f",33621.6683364473,0.368746381591507,0.0632726237449461,5.82789775050163,5.61299501502533e-09,2.09678381428931e-06
"Il2",612.548688682364,0.804530210340094,0.124056590752816,6.48518716706577,8.86216997380738e-11,4.1688304013825e-08
"Il7r",1256.03158427603,0.346006978796707,0.0966996269226139,3.57816249977476,0.000346018307599346,0.0426677526681485
"Itpripl2",417.990643122829,0.84885977356188,0.150906156620208,5.62508377771653,1.85417964469258e-08,6.5416487964557e-06
"Kcnq1ot1",872.174356603992,0.500949969263004,0.127793218129699,3.92000433665098,8.8547375243715e-05,0.01292689899966
"Kdm5d",569.607495567758,12.6488969502767,1.44817745768359,8.73435564347829,2.4504898507852e-18,4.4462387992604e-15
"Mmd",747.286446605019,0.453522795735515,0.120922281964179,3.7505312368308,0.000176460319696832,0.0233460679215569
"Msi2",3958.59193544073,0.367407321299641,0.076720618411777,4.78889937158331,1.67698542632576e-06,0.000401875318863462
"Mtmr7",319.901292171437,0.856979443611654,0.165267915210264,5.18539513565807,2.15557349426245e-07,6.36696254665752e-05
"Nebl",370.256158211067,0.562330036408324,0.154116713995114,3.64872843334924,0.000263541506200981,0.0338105118207945
"Nme1",1260.46381365738,0.349123438457279,0.0978352945364513,3.56848149853735,0.000359056203130106,0.0438497388072642
"Pctp",209.718463679953,1.05218590315279,0.200063971257756,5.25924731243681,1.44646244158758e-07,4.37417130252473e-05
"Rnf157",2098.34968693708,0.382656426051227,0.0839493946178603,4.55817969615014,5.15988816639363e-06,0.00111077524748077
"Slc43a2",1897.27611235172,0.589949192382201,0.0833567453908614,7.07740195008715,1.46882044717312e-12,7.77312020814409e-10
"Slfn1",277.987539245299,0.787033676378833,0.175367832260069,4.48790217815814,7.19279400326701e-06,0.0014734786554112
"Slfn2",2119.19662615432,1.23152346597708,0.0878076920804373,14.0252344276277,1.09250535086622e-44,1.38759104613519e-40
"Taf15",535.491835047284,0.566975656419413,0.157109231811617,3.60879911308616,0.000307617694833906,0.0390705234208544
"Tfrc",17289.1828376618,0.24275986376163,0.058386300573955,4.15782232090793,3.21295762801572e-05,0.00566774650464273
"Timd2",438.805059795595,0.752451792836296,0.148511345058066,5.0666283612346,4.04923734752976e-07,0.000116884917161308
"Tlcd2",284.74368640645,1.25942357858067,0.17741542118866,7.09872665038188,1.25911564497693e-12,6.95305556819651e-10
"Tmem176a",1680.83269857675,0.363188853994015,0.0911516156963806,3.98444779304594,6.76372244385917e-05,0.0106056837974636
"Tmem176b",1621.36149346112,0.431453856064252,0.0955931105586658,4.51344091161745,6.37842260996948e-06,0.00132807123883971
"Tnfsf11",774.253253640259,0.733418976353376,0.123650230108826,5.93140001201683,3.00362454256721e-09,1.19215735359832e-06
"Traip",592.06975700715,0.480950538372057,0.125315399859405,3.83792047036237,0.000124080652385694,0.0173036662185522
"Uty",291.597467795666,11.6830261371701,1.45276930425003,8.04190046072131,8.84557340063274e-16,1.02134207055851e-12
