"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","ensembl"
"Slfn2",2119.19662615432,1.23152346597708,0.0878076920804373,14.0252344276277,1.09250535086622e-44,1.38759104613519e-40,"20556","ENSMUSG00000072620"
"Xist",2179.65878242058,-11.4551817642219,0.836570068118894,-13.6930332565925,1.11745238657994e-42,7.0963813809759e-39,"213742","ENSMUSG00000086503"
"Alpk2",1408.36457970491,-0.971800977440168,0.0975201202518518,-9.96513309182179,2.16583585218974e-23,9.16942705288732e-20,"225638","ENSMUSG00000032845"
"Eif2s3y",878.412211630237,13.2737344786665,1.4463775756324,9.17722640498129,4.4233758427207e-20,1.40453241445989e-16,"26908","ENSMUSG00000069049"
"Basp1",1011.28976655667,-0.929072307373019,0.102598181494546,-9.05544614767274,1.36010623612147e-19,3.45494186099576e-16,"70350","ENSMUSG00000045763"
"Igfbp4",5190.5461238049,-0.60718180806414,0.0680295460042288,-8.92526620751514,4.44628565312558e-19,9.412045680058e-16,"16010","ENSMUSG00000017493"
"Kdm5d",569.607495567758,12.6488969502767,1.44817745768359,8.73435564347829,2.4504898507852e-18,4.4462387992604e-15,"20592","ENSMUSG00000056673"
"Ddx3y",557.616434153923,12.6181623367948,1.44798864049444,8.71426887194785,2.92641092860062e-18,4.64604315051956e-15,"26900","ENSMUSG00000069045"
"Eif2s3x",2248.35752618271,-0.687634082780049,0.0806181020505112,-8.52952457686504,1.4695037687298e-17,2.07379637407079e-14,"26905","ENSMUSG00000035150"
"Il9",1223.64181293631,-0.876268055743618,0.103274628959927,-8.4848337347562,2.16027393981953e-17,2.74376393096478e-14,"16198","ENSMUSG00000021538"
"Uty",291.597467795666,11.6830261371701,1.45276930425003,8.04190046072131,8.84557340063274e-16,1.02134207055851e-12,"22290","ENSMUSG00000068457"
"Il24",918.975943791773,-1.01365584875876,0.126979121395358,-7.98285448520842,1.42987435477291e-15,1.51340284833089e-12,"93672","ENSMUSG00000026420"
"Thra",622.693480265804,-1.0026546149353,0.127828852430478,-7.84372695108568,4.37367569843384e-15,4.27308115736986e-12,"21833","ENSMUSG00000058756"
"Lta",9002.91947466133,-0.49556011819991,0.0632986959526067,-7.82891512600746,4.92097691636708e-15,4.46438055819845e-12,"16992","ENSMUSG00000024402"
"Jak3",9318.32287863136,-0.559773024328356,0.0716380552924953,-7.81390591973533,5.54424845538776e-15,4.64213866008466e-12,"16453","ENSMUSG00000031805"
"Izumo1r",1177.64861458581,-0.774233939434212,0.0991694010816065,-7.8071857951133,5.84790320142938e-15,4.64213866008466e-12,"64931","ENSMUSG00000031933"
"Il17a",7247.55106303493,0.512885865098916,0.0665349202177416,7.70852153155742,1.27283648070421e-14,9.50958596554364e-12,"16171","ENSMUSG00000025929"
"Igf2bp3",420.834753963797,1.11253535303618,0.147910123471323,7.52169849450425,5.40691597416104e-14,3.81517998821219e-11,"140488","ENSMUSG00000029814"
